,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
33,Busselton,-33.65,115.33,60.01,88,48,8.95,AU,1619183317
34,Cabo San Lucas,22.89,-109.91,77.0,55,1,17.27,MX,1619183317
35,Artigas,-30.4,-56.47,73.0,53,0,13.4,UY,1619183318
36,Cape Town,-33.93,18.42,70.0,56,0,12.66,ZA,1619183318
37,Turukhansk,65.82,87.98,33.26,93,83,12.57,RU,1619183319
38,Shumyachi,53.86,32.42,49.24,45,100,11.3,RU,1619183319
39,Marzuq,14.4,46.47,88.09,18,0,16.4,YE,1619183320
40,Noyabrsk,63.2,75.45,37.26,88,39,18.03,RU,1619183320
41,Lüderitz,-26.65,15.16,75.85,55,1,14.81,NA,1619183321
42,Chumikan,54.72,135.31,24.37,82,10,4.83,RU,1619183321
43,Hamilton,39.18,-84.53,44.01,56,90,4.76,US,1619183030
44,Esperance,-33.87,121.9,59.0,88,100,9.22,AU,1619183322
45,Tuktoyaktuk,69.45,-133.04,-4.72,100,93,6.33,CA,1619183322
46,Gulariyā,28.23,81.33,89.13,19,2,4.0,NP,1619183323
47,Newtonmore,57.07,-4.12,55.99,66,20,13.8,GB,1619183323
48,Ostrovnoy,68.05,39.51,34.99,86,100,10.29,RU,1619183324
49,Itaqui,-29.13,-56.55,75.34,49,42,11.59,BR,1619183324
50,Port Hardy,50.7,-127.42,46.4,87,40,2.3,CA,1619183324
51,New Norfolk,-42.78,147.06,53.01,67,100,4.0,AU,1619183325
52,Port Alfred,-33.59,26.89,73.09,68,5,26.57,ZA,1619183325
53,Hasaki,35.73,140.83,48.2,87,0,2.3,JP,1619183325
54,Padang,-0.95,100.35,80.6,83,40,3.44,ID,1619183201
55,Hobart,-42.88,147.33,53.6,62,75,11.5,AU,1619183326
56,Bathsheba,13.22,-59.52,84.2,58,20,21.85,BB,1619183326
57,Marshall,34.38,-86.33,51.01,81,40,5.41,US,1619183327
58,Koumra,8.91,17.55,103.6,19,52,6.58,TD,1619183327
59,Aginskoye,51.1,114.53,36.72,26,100,2.62,RU,1619183328
60,Grand Gaube,-20.01,57.66,80.01,76,100,8.99,MU,1619183328
61,Te Karaka,-38.47,177.87,56.37,88,100,3.0,NZ,1619183329
62,Byron Bay,-28.65,153.62,52.0,93,0,3.2,AU,1619183146
63,Strezhevoy,60.73,77.59,48.2,31,0,13.42,RU,1619183329
64,Saint George,37.1,-113.58,53.01,37,1,6.91,US,1619183330
65,Mendoza,-32.89,-68.83,55.4,76,0,3.44,AR,1619183254
66,Wajid,3.81,43.25,90.77,39,100,6.98,SO,1619183331
67,Atuona,-9.8,-139.03,80.04,79,30,22.95,PF,1619183331
68,Longyearbyen,78.22,15.64,17.6,62,40,4.61,SJ,1619183332
69,Taoudenni,22.68,-3.98,103.35,4,0,6.82,ML,1619183332
70,Omboué,-1.57,9.26,83.34,66,92,3.96,GA,1619183332
71,Saint-Philippe,-21.36,55.77,78.8,78,90,20.71,RE,1619183333
72,Yumen,40.28,97.2,41.95,70,100,24.96,CN,1619183333
73,Tasiilaq,65.61,-37.64,33.8,64,90,2.3,GL,1619183333
74,Pimentel,-6.84,-79.93,66.2,82,75,14.97,PE,1619183334
75,Najrān,17.49,44.13,95.0,10,20,6.91,SA,1619183334
76,Dondo,-19.61,34.74,80.6,61,20,8.32,MZ,1619183335
77,Alekseyevka,50.63,38.69,60.24,53,100,9.95,RU,1619183335
78,Puerto Ayora,-0.74,-90.35,75.99,96,31,4.32,EC,1619183335
79,Havøysund,71.0,24.66,41.0,56,75,8.05,NO,1619183336
80,Paita,-5.09,-81.11,69.8,78,0,20.71,PE,1619183336
81,Albany,42.6,-73.97,43.0,38,8,4.0,US,1619183126
82,Arraial do Cabo,-22.97,-42.03,75.2,73,0,23.02,BR,1619183337
83,Malé,4.17,73.51,83.34,73,45,12.01,MV,1619183337
84,Itarantim,-15.66,-40.07,81.18,65,21,1.79,BR,1619183338
85,Khatanga,71.97,102.5,33.75,94,100,17.67,RU,1619183339
86,Faya,18.39,42.45,78.8,23,40,11.5,SA,1619183339
87,Norman Wells,65.28,-126.83,6.8,85,20,3.44,CA,1619183340
88,Maribondo,-9.58,-36.31,82.4,74,75,3.44,BR,1619183340
89,Leningradskiy,69.38,178.42,16.56,93,99,6.08,RU,1619183341
90,Hambantota,6.12,81.12,84.52,69,33,15.55,LK,1619183341
91,Kolondiéba,11.09,-6.89,102.56,21,90,4.43,ML,1619183341
92,Eresós,39.17,25.93,71.6,46,20,2.3,GR,1619183342
93,Mhlume,-26.03,31.85,78.8,38,20,4.61,SZ,1619183343
94,Albert Lea,43.65,-93.37,46.99,53,90,6.91,US,1619183343
95,Chara,56.91,118.26,19.92,73,27,3.83,RU,1619183343
96,Ağdaş,40.65,47.48,80.6,60,20,6.91,AZ,1619183344
97,Nepomuk,49.49,13.58,57.0,46,57,4.0,CZ,1619183344
98,Lavrentiya,65.58,-171.0,24.48,70,100,3.4,RU,1619183345
99,Atbasar,51.8,68.33,47.89,30,100,12.71,KZ,1619183345
100,Port Elizabeth,-33.92,25.57,71.6,73,0,25.32,ZA,1619183132
101,Biak,-0.91,122.88,78.1,81,94,3.22,ID,1619183347
102,Sumbe,-11.21,13.84,84.2,75,75,8.05,AO,1619183347
103,Luanda,-8.84,13.23,84.2,74,75,6.91,AO,1619183219
104,Provideniya,64.38,-173.3,32.5,66,99,2.51,RU,1619183348
105,Bethel,41.37,-73.41,43.0,52,0,5.01,US,1619183348
106,Narsaq,60.92,-46.05,42.8,52,20,6.91,GL,1619183349
107,Myanaung,18.28,95.32,91.87,46,18,9.95,MM,1619183349
108,Marathon,44.9,-89.77,48.2,43,75,3.44,US,1619183349
109,Itanhém,-17.17,-40.33,79.61,67,43,3.4,BR,1619183350
110,Taltal,-25.4,-70.48,62.56,72,0,1.92,CL,1619183350
111,Denpasar,-8.65,115.22,82.4,78,20,5.75,ID,1619183100
112,Kavieng,-2.57,150.8,77.14,91,100,11.95,PG,1619183351
113,Sørland,67.67,12.69,37.4,65,40,12.66,NO,1619183352
114,Sawtell,-30.38,153.1,50.0,93,0,4.61,AU,1619183352
115,Belmonte,-15.86,-38.88,80.6,74,75,2.3,BR,1619183352
116,Verkhnyaya Inta,65.98,60.31,39.52,91,100,16.73,RU,1619183353
117,Cayenne,4.93,-52.33,84.2,74,0,13.8,GF,1619183353
118,Shingū,33.73,135.98,58.93,73,100,5.32,JP,1619183354
119,Teya,60.38,92.63,30.87,92,15,1.25,RU,1619183354
120,Ribeira Grande,38.52,-28.7,62.6,59,40,28.77,PT,1619183355
121,Angoche,-16.23,39.91,80.24,67,50,9.73,MZ,1619183355
122,Sirte,31.21,16.59,91.56,20,15,16.06,LY,1619183356
123,Jalu,29.03,21.55,93.34,9,94,14.03,LY,1619183356
124,Kavaratti,10.57,72.64,84.6,68,4,6.06,IN,1619183357
125,Mar del Plata,-38.0,-57.56,68.0,94,75,6.91,AR,1619183357
126,Kapaa,22.08,-159.32,73.4,78,90,11.5,US,1619183359
127,Vestmannaeyjar,63.44,-20.27,44.6,87,90,25.32,IS,1619183359
128,Rio Grande,-32.03,-52.1,73.4,78,75,18.41,BR,1619183359
129,Georgiyevka,43.04,74.71,51.8,40,0,17.9,KZ,1619183360
130,Nikolskoye,59.7,30.79,46.4,49,75,15.66,RU,1619183360
131,Moranbah,-22.0,148.05,59.45,93,100,11.3,AU,1619183360
132,Guymon,36.68,-101.48,39.2,93,1,4.61,US,1619183361
133,Pisco,-13.7,-76.22,64.4,88,3,2.3,PE,1619183361
134,Andenes,69.31,16.12,37.4,81,40,16.11,NO,1619183362
135,Sur,22.57,59.53,93.24,34,0,4.34,OM,1619183362
136,Panabá,21.28,-88.27,76.26,80,98,10.45,MX,1619183363
137,Río Gallegos,-51.62,-69.22,42.8,93,75,1.14,AR,1619183363
138,Zhigansk,66.77,123.37,23.54,90,100,18.75,RU,1619183364
139,Pringsewu,-5.36,104.97,74.34,88,7,5.28,ID,1619183364
140,Touros,-5.2,-35.46,86.0,62,20,9.22,BR,1619183364
141,Bredasdorp,-34.53,20.04,71.6,53,20,11.5,ZA,1619183365
142,Caravelas,-17.71,-39.25,82.42,62,48,4.63,BR,1619183365
143,Santa Isabel Rio Negro,-0.41,-65.02,76.37,95,100,2.37,BR,1619183366
144,Bakchar,57.02,82.07,35.8,87,7,2.28,RU,1619183366
145,Les Cayes,18.2,-73.75,78.6,76,8,3.71,HT,1619183366
146,Clyde River,70.47,-68.59,14.0,85,75,8.05,CA,1619183367
147,Bambous Virieux,-20.34,57.76,80.6,78,75,10.36,MU,1619183367
148,Okhotsk,59.38,143.3,22.62,63,0,14.2,RU,1619183368
149,Klaksvík,62.23,-6.59,46.4,93,100,9.22,FO,1619183368
150,George Town,5.41,100.34,81.0,89,40,1.14,MY,1619183368
151,Tambacounda,13.75,-13.76,102.2,10,28,4.61,SN,1619183369
152,Sisimiut,66.94,-53.67,35.2,66,97,9.46,GL,1619183369
153,Port Hedland,-20.32,118.57,75.2,53,0,6.91,AU,1619183370
154,Saravan,39.72,45.65,77.0,19,0,4.61,AM,1619183371
155,San Quintín,30.48,-115.95,57.47,80,100,12.93,MX,1619183109
156,Skjervøy,70.03,20.97,39.2,56,75,11.5,NO,1619183372
157,Thompson,55.74,-97.86,12.2,73,75,2.3,CA,1619183372
158,Podosinovets,60.28,47.07,56.44,53,40,10.96,RU,1619183372
159,Saint-Joseph,-21.37,55.62,78.8,78,90,20.71,RE,1619183373
160,Butaritari,3.07,172.79,81.99,76,100,8.7,KI,1619183373
161,Sobolevo,54.43,31.9,48.24,45,100,13.53,RU,1619183374
162,Djibouti,11.5,42.5,86.0,70,75,9.22,DJ,1619183375
163,Ballina,-28.87,153.57,52.0,93,0,2.48,AU,1619183375
164,Cherskiy,68.75,161.3,13.69,92,100,9.44,RU,1619183376
165,Garoowe,8.41,48.48,87.57,43,100,5.91,SO,1619183377
166,Plettenberg Bay,-34.05,23.37,72.93,58,18,4.29,ZA,1619183377
167,Bezenchuk,52.98,49.43,56.41,58,100,8.19,RU,1619183378
168,Alofi,-19.06,-169.92,73.4,100,9,1.14,NU,1619183378
169,Hohhot,40.81,111.65,64.4,32,20,6.71,CN,1619183379
170,Benguela,-12.58,13.41,87.04,68,91,11.74,AO,1619183380
171,Visby,57.64,18.3,44.01,70,20,16.11,SE,1619183381
172,Souillac,-20.52,57.52,80.6,78,75,10.36,MU,1619183381
173,Terney,45.05,136.61,56.08,65,100,7.58,RU,1619183381
174,Beloha,-25.17,45.05,87.62,36,63,13.76,MG,1619183381
175,Chui,-33.7,-53.46,70.97,70,26,12.84,UY,1619183382
176,Huarmey,-10.07,-78.15,68.68,82,5,8.39,PE,1619183382
177,Miracema do Tocantins,-9.56,-48.4,81.72,77,97,2.06,BR,1619183382
178,Umluj,25.02,37.27,82.54,60,95,8.57,SA,1619183383
179,Port Lincoln,-34.73,135.87,59.29,65,100,5.19,AU,1619183383
180,Tiksi,71.69,128.87,3.34,99,30,4.74,RU,1619183383
181,Isangel,-19.55,169.27,78.31,87,19,8.9,VU,1619183384
182,Yellowknife,62.46,-114.35,10.99,79,90,10.36,CA,1619183384
183,La Ronge,55.1,-105.28,19.4,86,12,4.61,CA,1619183384
184,Mackenzie,55.3,-123.17,28.4,80,90,2.53,CA,1619183385
185,Venado Tuerto,-33.75,-61.97,69.01,77,97,6.17,AR,1619183385
186,Kruisfontein,-34.0,24.73,82.0,51,4,8.01,ZA,1619183387
187,San Patricio,28.02,-97.52,73.4,94,90,13.8,US,1619183387
188,Qaanaaq,77.48,-69.36,21.06,89,100,6.62,GL,1619183387
189,Angoram,-4.06,144.07,75.97,98,100,0.98,PG,1619183388
190,Petropavlovsk-Kamchatskiy,53.05,158.65,35.6,87,96,4.47,RU,1619183388
191,Jinchang,38.5,102.17,47.03,66,100,18.63,CN,1619183388
192,Bac Lieu,9.29,105.72,80.98,79,80,12.19,VN,1619183389
193,Midland,32.0,-102.08,62.6,82,90,8.05,US,1619183179
194,Boa Vista,2.82,-60.67,82.4,65,75,12.66,BR,1619183378
195,Saint Anthony,45.02,-93.22,46.0,76,90,8.05,US,1619183390
196,Anadyr,64.75,177.48,5.0,92,0,8.95,RU,1619183390
197,Yatou,37.15,122.38,51.15,86,100,13.94,CN,1619183391
198,Hithadhoo,-0.6,73.08,82.72,73,28,6.87,MV,1619183320
199,Coyhaique,-45.58,-72.07,46.4,81,75,6.91,CL,1619183392
200,Tamisan,6.84,126.3,80.65,77,85,5.1,PH,1619183392
201,General Pico,-35.66,-63.76,63.27,94,100,3.58,AR,1619183393
202,Codrington,-38.27,141.97,54.37,83,100,7.2,AU,1619183393
203,Faanui,-16.48,-151.75,79.95,76,26,12.33,PF,1619183393
204,Waipawa,-41.41,175.52,60.8,82,20,12.66,NZ,1619183394
205,Neuquén,-38.95,-68.06,53.6,82,0,5.75,AR,1619183394
206,Pevek,69.7,170.31,9.48,97,76,8.14,RU,1619183395
207,Tigil',57.8,158.67,31.95,94,99,7.11,RU,1619183395
208,Arawa,-6.21,155.54,75.38,94,100,1.43,PG,1619183395
209,Srīvardhan,18.03,73.02,84.43,64,100,11.39,IN,1619183396
210,Senno,59.53,33.92,46.0,72,100,8.01,RU,1619183396
211,Svetlaya,46.54,138.33,54.82,61,100,7.0,RU,1619183397
212,Almaznyy,48.04,40.05,66.2,39,20,15.66,RU,1619183397
213,Dandong,40.13,124.39,54.28,81,100,4.34,CN,1619183398
214,Avarua,-21.21,-159.78,78.8,78,75,13.8,CK,1619183363
215,Zhoucheng,35.91,116.31,54.25,78,100,12.62,CN,1619183398
216,Berlevåg,70.86,29.09,39.2,70,75,8.05,NO,1619183399
217,Nome,64.5,-165.41,37.4,60,1,10.36,US,1619183399
218,Salamiyah,35.01,37.05,81.99,17,0,8.03,SY,1619183400
219,Sergeevka,53.88,67.42,50.07,31,100,10.67,KZ,1619183400
220,Fortuna,40.6,-124.16,46.99,100,90,3.71,US,1619183401
221,Monrovia,6.3,-10.8,89.6,66,40,3.44,LR,1619183401
222,Carnarvon,-24.87,113.63,71.6,83,1,6.91,AU,1619183401
223,Tambopata,-12.73,-69.18,75.7,91,77,3.33,PE,1619183402
224,Pangnirtung,66.15,-65.71,19.4,86,90,2.3,CA,1619183402
225,Atherton,53.52,-2.49,62.01,29,100,4.61,GB,1619183403
226,São Filipe,14.9,-24.5,72.21,72,5,8.57,CV,1619183403
227,Lompoc,34.64,-120.46,50.0,81,85,6.55,US,1619183404
228,Hong Kong,22.29,114.16,81.0,80,6,1.01,HK,1619183310
229,Esna,25.29,32.55,104.0,13,0,11.5,EG,1619183167
230,Kahului,20.89,-156.47,71.6,78,1,11.5,US,1619183118
231,Abu Kamal,34.45,40.92,87.48,12,100,7.45,SY,1619183406
232,Nagorsk,59.32,50.81,52.3,61,100,6.04,RU,1619183406
233,Jaumave,23.42,-99.38,73.4,83,40,17.27,MX,1619183407
234,Kutum,14.2,24.67,94.05,10,98,6.71,SD,1619183408
235,Aklavik,68.22,-135.01,12.2,67,86,8.05,CA,1619183408
236,Mahon,39.89,4.27,66.2,55,20,14.97,ES,1619183410
237,San Cristobal,7.77,-72.22,80.6,74,40,2.3,VE,1619183411
238,Makakilo City,21.35,-158.09,73.4,68,1,4.61,US,1619183411
239,Lorengau,-2.02,147.27,79.92,80,100,4.38,PG,1619183411
240,Muncar,-8.43,114.33,76.48,78,16,0.85,ID,1619183412
241,Mangan,27.52,88.53,70.12,58,57,0.83,IN,1619183413
242,Maputo,-25.97,32.59,77.0,68,40,4.61,MZ,1619183413
243,Harbour Breton,47.48,-55.8,38.14,74,98,25.75,CA,1619183414
244,Gimli,50.63,-96.99,23.0,68,100,16.11,CA,1619183414
245,Vila Velha,-20.33,-40.29,81.0,69,20,2.3,BR,1619183416
246,Manggar,-2.88,108.27,81.37,73,55,5.88,ID,1619183417
247,Bengkulu,-3.8,102.27,77.31,86,100,2.84,ID,1619183417
248,Ponta do Sol,32.67,-17.1,69.8,64,40,6.91,PT,1619183417
249,Teguise,29.06,-13.56,69.8,78,75,6.91,ES,1619183418
250,Lebu,-37.62,-73.65,54.01,68,10,3.27,CL,1619183418
251,Chenghai,23.46,116.77,77.0,73,40,11.18,CN,1619183419
252,Kinshasa,-4.32,15.32,86.94,64,84,6.55,CD,1619183268
253,Sangar,63.92,127.47,12.24,96,88,3.8,RU,1619183420
254,Chokurdakh,70.63,147.92,-10.68,99,50,3.94,RU,1619183420
255,Balingasay,16.36,119.86,80.19,75,48,12.77,PH,1619183420
256,Altay,47.87,88.12,30.02,46,26,4.65,CN,1619183421
257,Panama City,8.99,-79.52,80.6,78,20,6.91,PA,1619183246
258,Agadez,19.75,10.25,102.92,6,100,6.6,NE,1619183421
259,Abu Dhabi,24.47,54.37,102.2,17,0,10.36,AE,1619183420
260,Tari,12.41,4.49,106.32,18,6,8.28,NG,1619183422
261,Torbay,47.67,-52.73,46.99,56,20,21.85,CA,1619183423
262,Zemio,5.03,25.14,82.0,59,100,3.85,CF,1619183423
263,Necochea,-38.55,-58.74,61.0,97,100,3.85,AR,1619183423
264,East London,-33.02,27.91,71.6,68,0,17.27,ZA,1619183424
265,Sakakah,29.97,40.21,91.4,9,40,13.8,SA,1619183424
266,Nueve de Julio,-35.44,-60.88,68.0,88,100,1.01,AR,1619183425
267,Khani,41.96,42.96,69.8,40,0,2.3,GE,1619183425
268,Saint-Ambroise,48.55,-71.33,34.0,64,100,24.16,CA,1619183426
269,Rocha,-34.48,-54.33,68.41,79,16,12.53,UY,1619183426
270,Grindavik,63.84,-22.43,44.6,93,90,25.32,IS,1619183427
271,Bandarbeyla,9.49,50.81,85.64,66,45,14.29,SO,1619183427
272,Trairi,-3.28,-39.27,84.07,68,100,6.71,BR,1619183427
273,Cabacao,13.34,120.66,80.01,82,100,3.71,PH,1619183429
274,Pryazha,61.69,33.62,44.6,81,75,6.71,RU,1619183429
275,Sørkjosen,69.8,20.93,39.2,56,75,11.5,NO,1619183430
276,Fier,40.72,19.56,59.79,68,100,3.98,AL,1619183433
277,Husavik,66.04,-17.34,51.8,58,0,3.44,IS,1619183434
278,Ketchikan,55.34,-131.65,39.2,75,1,4.61,US,1619183335
279,Geraldton,-28.77,114.6,66.2,77,94,9.89,AU,1619183440
280,Waliso,8.53,37.98,76.35,40,48,9.82,ET,1619183442
281,Kirensk,57.79,108.11,26.56,94,44,2.98,RU,1619183442
282,Barrow,71.29,-156.79,5.0,78,1,5.75,US,1619183444
283,Örnsköldsvik,63.29,18.72,39.2,35,90,16.11,SE,1619183444
284,Norrtälje,59.76,18.7,43.0,36,0,17.27,SE,1619183448
285,Nanortalik,60.14,-45.24,36.77,83,56,9.48,GL,1619183448
286,Neiafu,-18.65,-173.98,71.6,94,20,11.12,TO,1619183449
287,Severo-Kuril'sk,50.68,156.12,34.45,93,99,4.56,RU,1619183450
288,Upata,8.01,-62.4,81.0,82,53,3.0,VE,1619183451
289,Abhā,18.22,42.51,78.8,23,40,11.5,SA,1619183451
290,Alyangula,-13.85,136.42,75.2,83,35,11.34,AU,1619183452
291,Nakhon Sawan,15.7,100.08,91.99,63,99,4.05,TH,1619183453
292,Mikhaylovka,50.06,43.24,57.99,75,100,7.0,RU,1619183457
293,Terrace,54.52,-128.6,37.4,70,40,13.8,CA,1619183457
294,Olavarría,-36.89,-60.32,63.0,99,100,5.48,AR,1619183457
295,Steinbach am Taunus,50.17,8.57,59.0,38,0,5.75,DE,1619183459
296,Menongue,-14.66,17.69,82.8,29,55,6.55,AO,1619183459
297,Nuuk,64.18,-51.72,33.8,93,40,8.05,GL,1619183461
298,Craig,40.52,-107.55,30.2,74,90,4.61,US,1619183461
299,Soto la Marina,23.77,-98.22,75.99,90,30,10.0,MX,1619183374
300,Dāmghān,36.17,54.35,75.81,31,100,19.39,IR,1619183463
301,Mariinsk,56.21,87.75,37.58,69,87,5.17,RU,1619183463
302,Poya,-21.35,165.15,74.1,90,86,5.08,NC,1619183463
303,Lingao,19.91,109.69,79.72,78,4,8.32,CN,1619183464
304,Kiama,-34.68,150.87,54.0,68,23,1.99,AU,1619183257
305,Yei,4.09,30.68,86.38,44,87,6.62,SS,1619183465
306,Puerto Escondido,15.85,-97.07,78.8,89,20,5.75,MX,1619183467
307,Lixouri,38.2,20.43,69.8,35,40,10.36,GR,1619183468
308,Inuvik,68.35,-133.72,12.2,67,85,8.05,CA,1619183469
309,Tsumeb,-19.23,17.72,78.8,27,0,13.8,NA,1619183470
310,Coolum Beach,-26.53,153.1,55.99,91,0,3.4,AU,1619183471
311,Westport,41.14,-73.36,45.0,39,1,17.27,US,1619183472
312,Orange Cove,36.62,-119.31,50.0,87,1,1.88,US,1619183473
313,Dingle,11.0,122.67,79.23,75,99,7.61,PH,1619183473
314,Rūdbār,30.15,62.6,92.55,3,0,15.64,AF,1619183473
315,Pangody,65.85,74.49,34.2,99,100,16.17,RU,1619183474
316,Arona,28.1,-16.68,73.4,64,20,11.5,ES,1619183475
317,Kuito,-12.38,16.93,73.4,56,0,6.91,AO,1619183475
318,Korla,41.76,86.15,47.98,57,3,12.19,CN,1619183476
319,Salisbury,51.07,-1.8,62.6,34,0,16.11,GB,1619183477
320,Portland,45.52,-122.68,45.0,76,100,1.01,US,1619183666
321,Lac-Mégantic,45.58,-70.88,35.01,70,100,21.99,CA,1619183478
322,Mayumba,-3.43,10.66,83.75,65,90,6.26,GA,1619183478
323,Bukama,-9.2,25.85,87.98,51,68,3.51,CD,1619183480
324,Kiunga,-6.12,141.29,76.37,95,100,2.1,PG,1619183482
325,Maracaçumé,-2.04,-45.96,82.11,79,36,3.85,BR,1619183482
326,Nouadhibou,20.93,-17.03,71.6,68,0,19.57,MR,1619183484
327,Dauriya,49.93,116.87,42.64,17,100,12.53,RU,1619183484
328,Praia,14.92,-23.51,78.8,50,20,21.85,CV,1619183486
329,Sitka,57.05,-135.33,37.4,70,40,5.79,US,1619183486
330,Zhoukou,33.63,114.63,61.52,71,100,5.91,CN,1619183486
331,Naze,28.37,129.48,65.52,75,100,27.02,JP,1619183373
332,Balkanabat,39.51,54.37,77.92,42,100,7.58,TM,1619183487
333,Airai,-8.93,125.41,59.2,93,94,2.33,TL,1619183487
334,Waitara,-38.92,174.25,54.0,92,100,7.0,NZ,1619183487
335,Tiznit Province,29.58,-9.5,71.58,48,6,11.61,MA,1619183488
336,Līsakovsk,52.54,62.49,57.38,38,100,10.87,KZ,1619183488
337,Iquitos,-3.75,-73.25,77.0,88,75,5.75,PE,1619183488
338,Dubuque,42.48,-90.87,48.0,41,100,4.0,US,1619183489
339,Susanville,40.42,-120.65,37.4,56,1,3.91,US,1619183489
340,Resende,-22.47,-44.45,71.22,66,1,3.74,BR,1619183489
341,Ilulissat,69.22,-51.1,37.4,44,20,21.85,GL,1619183489
342,Shalazhi,43.1,45.36,66.2,42,20,13.42,RU,1619183490
343,Tucupita,9.06,-62.05,83.26,66,27,6.22,VE,1619183490
344,Okha,53.57,142.95,30.81,85,100,11.32,RU,1619183490
345,Mayor Pablo Lagerenza,-19.93,-60.77,85.24,53,100,11.39,PY,1619183491
346,Vardø,70.37,31.11,37.4,56,75,4.61,NO,1619183491
347,Atar,20.52,-13.05,95.61,6,0,4.38,MR,1619183491
348,Vilyuysk,63.76,121.62,20.26,86,15,8.59,RU,1619183492
349,Guerrero Negro,27.98,-114.06,59.04,73,100,17.25,MX,1619183412
350,Tres Arroyos,-38.37,-60.28,62.55,87,100,5.01,AR,1619183492
351,Halifax,44.65,-63.57,41.0,70,98,26.46,CA,1619183299
352,San Ramon,37.78,-121.98,50.0,76,90,6.91,US,1619183272
353,São Félix do Xingu,-6.64,-51.99,80.71,79,78,1.79,BR,1619183493
354,Ilo,-17.64,-71.34,66.2,82,90,4.61,PE,1619183493
355,Wajima,37.4,136.9,51.28,72,100,9.55,JP,1619183494
356,Brownfield,33.18,-102.27,57.0,93,1,10.09,US,1619183494
357,Española,35.99,-106.08,42.8,28,1,2.28,US,1619183494
358,Oneida,43.2,-75.47,43.0,56,1,12.66,US,1619183494
359,Aquidauana,-20.47,-55.79,84.24,29,1,6.15,BR,1619183495
360,Boundiali,9.52,-6.49,103.37,22,66,2.13,CI,1619183495
361,Rosignol,6.28,-57.53,79.32,87,83,8.14,GY,1619183496
362,Kaitangata,-46.28,169.85,47.19,94,78,4.61,NZ,1619183496
363,Praia da Vitória,38.73,-27.07,62.6,67,75,34.74,PT,1619183496
364,Honiara,-9.43,159.95,77.56,88,97,2.44,SB,1619183497
365,Placer,39.07,-120.77,50.0,52,100,4.0,US,1619183497
366,Powell,40.16,-83.08,46.0,57,1,8.05,US,1619183497
367,Lima,-12.04,-77.03,66.0,88,90,4.61,PE,1619183460
368,Comodoro Rivadavia,-45.87,-67.5,48.2,93,90,5.75,AR,1619183498
369,Tázlár,46.55,19.51,61.0,35,0,16.11,HU,1619183498
370,Qasigiannguit,68.82,-51.19,37.4,44,20,21.85,GL,1619183499
371,Seoul,37.57,126.98,66.2,37,0,9.22,KR,1619183161
372,Saldanha,-33.01,17.94,73.4,72,0,9.22,ZA,1619183499
373,Prudentópolis,-25.21,-50.98,65.03,58,0,2.51,BR,1619183499
